file,top_folder,campaign,file_type,rows,columns,read_ok,sheet
outputs/generated/mol2mol/high_similarity/curriculum_learning/mol2mol_high_similarity_cl_generated_scored.xlsx,mol2mol,mol2mol/high_similarity/curriculum_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/high_similarity/plain/mol2mol_high_similarity_plain_generated_optimal.xlsx,mol2mol,mol2mol/high_similarity/plain,optimal,0,58,True,Compounds
outputs/generated/mol2mol/high_similarity/plain/mol2mol_high_similarity_plain_generated_scored.xlsx,mol2mol,mol2mol/high_similarity/plain,scored,13,58,True,Compounds
outputs/generated/mol2mol/high_similarity/reinforcement_learning/mol2mol_high_similarity_rl_generated_optimal.xlsx,mol2mol,mol2mol/high_similarity/reinforcement_learning,optimal,1,58,True,Compounds
outputs/generated/mol2mol/high_similarity/reinforcement_learning/mol2mol_high_similarity_rl_generated_scored.xlsx,mol2mol,mol2mol/high_similarity/reinforcement_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/curriculum_learning/mol2mol_medium_similarity_cl_generated_optimal.xlsx,mol2mol,mol2mol/medium_similarity/curriculum_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/curriculum_learning/mol2mol_medium_similarity_cl_generated_scored.xlsx,mol2mol,mol2mol/medium_similarity/curriculum_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/plain/mol2mol_medium_similarity_plain_generated_optimal.xlsx,mol2mol,mol2mol/medium_similarity/plain,optimal,0,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/plain/mol2mol_medium_similarity_plain_generated_scored.xlsx,mol2mol,mol2mol/medium_similarity/plain,scored,13,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/reinforcement_learning/mol2mol_medium_similarity_rl_generated_optimal.xlsx,mol2mol,mol2mol/medium_similarity/reinforcement_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/reinforcement_learning/mol2mol_medium_similarity_rl_generated_scored.xlsx,mol2mol,mol2mol/medium_similarity/reinforcement_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/mmp/curriculum_learning/mol2mol_mmp_cl_generated_optimal.xlsx,mol2mol,mol2mol/mmp/curriculum_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/mmp/curriculum_learning/mol2mol_mmp_cl_generated_scored.xlsx,mol2mol,mol2mol/mmp/curriculum_learning,scored,12,58,True,Compounds
outputs/generated/mol2mol/mmp/plain/mol2mol_mmp_plain_generated_optimal.xlsx,mol2mol,mol2mol/mmp/plain,optimal,0,58,True,Compounds
outputs/generated/mol2mol/mmp/plain/mol2mol_mmp_plain_generated_scored.xlsx,mol2mol,mol2mol/mmp/plain,scored,12,58,True,Compounds
outputs/generated/mol2mol/mmp/reinforcement_learning/mol2mol_mmp_rl_generated_optimal.xlsx,mol2mol,mol2mol/mmp/reinforcement_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/mmp/reinforcement_learning/mol2mol_mmp_rl_generated_scored.xlsx,mol2mol,mol2mol/mmp/reinforcement_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/plain/mol2mol_plain_generated_optimal.xlsx,mol2mol,mol2mol/plain,optimal,14,17,True,Compounds
outputs/generated/mol2mol/plain/mol2mol_plain_generated_scored.xlsx,mol2mol,mol2mol/plain,scored,1432,17,True,Compounds
outputs/generated/mol2mol/reinforcement_learning/mol2mol_rl_generated_optimal.xlsx,mol2mol,mol2mol/reinforcement_learning,optimal,82,17,True,Compounds
outputs/generated/mol2mol/reinforcement_learning/mol2mol_rl_generated_scored.xlsx,mol2mol,mol2mol/reinforcement_learning,scored,1875,17,True,Compounds
outputs/generated/mol2mol/scaffold/curriculum_learning/mol2mol_scaffold_cl_generated_optimal.xlsx,mol2mol,mol2mol/scaffold/curriculum_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/scaffold/curriculum_learning/mol2mol_scaffold_cl_generated_scored.xlsx,mol2mol,mol2mol/scaffold/curriculum_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/scaffold/plain/mol2mol_scaffold_plain_generated_optimal.xlsx,mol2mol,mol2mol/scaffold/plain,optimal,0,58,True,Compounds
outputs/generated/mol2mol/scaffold/plain/mol2mol_scaffold_plain_generated_scored.xlsx,mol2mol,mol2mol/scaffold/plain,scored,13,58,True,Compounds
outputs/generated/mol2mol/scaffold/reinforcement_learning/mol2mol_scaffold_rl_generated_optimal.xlsx,mol2mol,mol2mol/scaffold/reinforcement_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/scaffold/reinforcement_learning/mol2mol_scaffold_rl_generated_scored.xlsx,mol2mol,mol2mol/scaffold/reinforcement_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/scaffold_generic/curriculum_learning/mol2mol_scaffold_generic_cl_generated_optimal.xlsx,mol2mol,mol2mol/scaffold_generic/curriculum_learning,optimal,1,58,True,Compounds
outputs/generated/mol2mol/scaffold_generic/curriculum_learning/mol2mol_scaffold_generic_cl_generated_scored.xlsx,mol2mol,mol2mol/scaffold_generic/curriculum_learning,scored,11,58,True,Compounds
outputs/generated/mol2mol/scaffold_generic/plain/mol2mol_scaffold_generic_plain_generated_optimal.xlsx,mol2mol,mol2mol/scaffold_generic/plain,optimal,1,58,True,Compounds
outputs/generated/mol2mol/scaffold_generic/plain/mol2mol_scaffold_generic_plain_generated_scored.xlsx,mol2mol,mol2mol/scaffold_generic/plain,scored,11,58,True,Compounds
outputs/generated/mol2mol/scaffold_generic/reinforcement_learning/mol2mol_scaffold_generic_rl_generated_optimal.xlsx,mol2mol,mol2mol/scaffold_generic/reinforcement_learning,optimal,2,58,True,Compounds
outputs/generated/mol2mol/scaffold_generic/reinforcement_learning/mol2mol_scaffold_generic_rl_generated_scored.xlsx,mol2mol,mol2mol/scaffold_generic/reinforcement_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/similarity/curriculum_learning/mol2mol_similarity_cl_generated_optimal.xlsx,mol2mol,mol2mol/similarity/curriculum_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/similarity/curriculum_learning/mol2mol_similarity_cl_generated_scored.xlsx,mol2mol,mol2mol/similarity/curriculum_learning,scored,11,58,True,Compounds
outputs/generated/mol2mol/similarity/plain/mol2mol_similarity_plain_generated_optimal.xlsx,mol2mol,mol2mol/similarity/plain,optimal,0,58,True,Compounds
outputs/generated/mol2mol/similarity/plain/mol2mol_similarity_plain_generated_scored.xlsx,mol2mol,mol2mol/similarity/plain,scored,11,58,True,Compounds
outputs/generated/mol2mol/similarity/reinforcement_learning/mol2mol_similarity_rl_generated_optimal.xlsx,mol2mol,mol2mol/similarity/reinforcement_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/similarity/reinforcement_learning/mol2mol_similarity_rl_generated_scored.xlsx,mol2mol,mol2mol/similarity/reinforcement_learning,scored,13,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_mmp/curriculum_learning/mol2mol_mmp_cl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_mmp/curriculum_learning,optimal,9,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_mmp/curriculum_learning/mol2mol_mmp_cl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_mmp/curriculum_learning,scored,1481,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_mmp/plain/mol2mol_mmp_plain_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_mmp/plain,optimal,7,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_mmp/plain/mol2mol_mmp_plain_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_mmp/plain,scored,699,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_mmp/reinforcement_learning/mol2mol_mmp_rl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_mmp/reinforcement_learning,optimal,64,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_mmp/reinforcement_learning/mol2mol_mmp_rl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_mmp/reinforcement_learning,scored,4257,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold/curriculum_learning/mol2mol_scaffold_cl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold/curriculum_learning,optimal,33,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold/curriculum_learning/mol2mol_scaffold_cl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold/curriculum_learning,scored,4727,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold/plain/mol2mol_scaffold_plain_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold/plain,optimal,21,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold/plain/mol2mol_scaffold_plain_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold/plain,scored,3693,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold/reinforcement_learning/mol2mol_scaffold_rl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold/reinforcement_learning,optimal,24,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold/reinforcement_learning/mol2mol_scaffold_rl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold/reinforcement_learning,scored,5000,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold_generic/curriculum_learning/mol2mol_scaffold_generic_cl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold_generic/curriculum_learning,optimal,106,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold_generic/curriculum_learning/mol2mol_scaffold_generic_cl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold_generic/curriculum_learning,scored,4908,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold_generic/plain/mol2mol_scaffold_generic_plain_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold_generic/plain,optimal,18,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold_generic/plain/mol2mol_scaffold_generic_plain_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold_generic/plain,scored,2003,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold_generic/reinforcement_learning/mol2mol_scaffold_generic_rl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold_generic/reinforcement_learning,optimal,20,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_scaffold_generic/reinforcement_learning/mol2mol_scaffold_generic_rl_generated_scored.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_scaffold_generic/reinforcement_learning,scored,5857,58,True,Compounds
outputs/generated/nitro_bioisostere_campaign/mol2mol_similarity/curriculum_learning/mol2mol_similarity_cl_generated_optimal.xlsx,nitro_bioisostere_campaign,nitro_bioisostere_campaign/mol2mol_similarity/curriculum_learning,optimal,36,58,True,Compounds
