iter	Passed	Remaining
412	3732	5304
413	3741	5296
414	3750	5287
415	3759	5277
416	3768	5269
417	3777	5260
418	3788	5252
419	3796	5243
420	3806	5234
421	3815	5226
422	3825	5217
423	3834	5209
424	3843	5200
425	3852	5191
426	3861	5182
427	3870	5172
428	3879	5164
429	3888	5154
430	3896	5144
431	3906	5136
432	3915	5127
433	3924	5117
434	3933	5108
435	3942	5099
436	3951	5091
437	3961	5082
438	3970	5073
439	3979	5065
440	3988	5055
441	3997	5047
442	4006	5037
443	4015	5028
444	4024	5019
445	4034	5011
446	4043	5001
447	4051	4992
448	4061	4984
449	4070	4974
450	4079	4965
451	4089	4957
452	4101	4952
453	4111	4944
454	4121	4936
455	4130	4928
456	4140	4920
457	4151	4912
458	4161	4905
459	4172	4897
460	4182	4889
461	4192	4882
462	4203	4874
463	4214	4869
464	4224	4860
465	4235	4853
466	4246	4846
467	4254	4836
468	4263	4827
469	4272	4818
470	4282	4809
471	4291	4800
472	4300	4791
473	4308	4781
474	4317	4772
475	4326	4762
476	4335	4753
477	4345	4744
478	4353	4735
479	4362	4726
480	4372	4717
481	4381	4708
482	4389	4698
483	4398	4689
484	4408	4680
485	4416	4671
486	4426	4662
487	4436	4654
488	4444	4644
489	4453	4634
490	4462	4625
491	4471	4617
492	4480	4607
493	4490	4599
494	4500	4591
495	4509	4582
496	4518	4572
497	4526	4563
498	4535	4553
499	4543	4543
500	4553	4535
501	4562	4526
502	4571	4516
503	4580	4507
504	4589	4498
505	4598	4489
506	4607	4480
507	4616	4471
508	4625	4461
509	4634	4452
510	4644	4444
511	4654	4436
512	4663	4426
513	4671	4417
514	4681	4408
515	4689	4399
516	4699	4390
517	4708	4381
518	4717	4372
519	4727	4363
520	4736	4354
521	4745	4345
522	4754	4336
523	4762	4326
524	4772	4317
525	4781	4308
526	4790	4299
527	4799	4290
528	4808	4281
529	4817	4272
530	4826	4262
531	4835	4253
532	4845	4245
533	4854	4236
534	4863	4227
535	4873	4218
536	4882	4209
537	4892	4201
538	4901	4192
539	4911	4183
540	4922	4176
541	4930	4166
542	4939	4156
543	4948	4147
544	4958	4139
545	4966	4129
546	4975	4120
547	4984	4111
548	4993	4101
549	5001	4092
550	5011	4083
551	5020	4074
552	5029	4065
553	5038	4056
554	5047	4047
555	5057	4038
556	5065	4029
557	5075	4020
558	5083	4010
559	5092	4001
560	5101	3992
561	5110	3983
562	5120	3974
563	5129	3965
564	5138	3956
565	5147	3946
566	5156	3938
567	5167	3930
568	5177	3921
569	5186	3912
570	5195	3903
571	5205	3895
572	5214	3885
573	5224	3877
574	5234	3868
575	5243	3859
576	5251	3850
577	5260	3840
578	5269	3831
579	5278	3822
580	5287	3813
581	5296	3803
582	5305	3794
583	5315	3786
584	5324	3777
585	5333	3768
586	5343	3759
587	5352	3750
588	5360	3740
589	5369	3731
590	5378	3722
591	5387	3713
592	5396	3703
593	5405	3694
594	5414	3685
595	5422	3675
596	5432	3666
597	5441	3657
598	5449	3648
599	5458	3638
600	5467	3629
601	5476	3620
602	5485	3611
603	5494	3602
604	5503	3593
605	5513	3584
606	5522	3575
607	5530	3565
608	5539	3556
609	5548	3547
610	5558	3538
611	5568	3530
612	5577	3521
613	5586	3512
614	5595	3502
615	5605	3494
616	5613	3484
617	5622	3475
618	5630	3465
619	5640	3457
620	5649	3447
621	5657	3438
622	5667	3429
623	5675	3420
624	5685	3411
625	5694	3402
626	5704	3393
627	5713	3384
628	5722	3375
629	5731	3365
630	5739	3356
631	5748	3347
632	5758	3338
633	5767	3329
634	5776	3320
635	5784	3310
636	5794	3301
637	5803	3292
638	5811	3283
639	5822	3274
640	5831	3265
641	5839	3256
642	5850	3247
643	5859	3238
644	5868	3229
645	5876	3220
646	5885	3210
647	5894	3201
648	5904	3193
649	5912	3183
650	5921	3174
651	5930	3165
652	5939	3156
653	5948	3146
654	5957	3138
655	5966	3128
656	5974	3119
657	5984	3110
658	5993	3101
659	6003	3092
660	6011	3083
661	6021	3074
662	6031	3065
663	6040	3056
664	6049	3047
665	6058	3038
666	6068	3029
667	6077	3020
668	6085	3011
669	6095	3002
670	6105	2993
671	6113	2984
672	6122	2974
673	6131	2965
674	6140	2956
675	6150	2947
676	6159	2938
677	6168	2929
678	6177	2920
679	6186	2911
680	6195	2901
681	6204	2892
682	6213	2883
683	6223	2875
684	6231	2865
685	6241	2856
686	6250	2847
687	6260	2838
688	6268	2829
689	6277	2820
690	6286	2811
691	6295	2801
692	6303	2792
693	6312	2783
694	6321	2774
695	6330	2764
696	6338	2755
697	6347	2746
698	6356	2737
699	6366	2728
700	6374	2719
701	6383	2709
702	6392	2700
703	6401	2691
704	6410	2682
705	6419	2673
706	6428	2664
707	6437	2655
708	6446	2646
709	6455	2636
710	6465	2627
711	6474	2619
712	6483	2609
713	6492	2600
714	6501	2591
715	6509	2582
716	6519	2573
717	6528	2564
718	6537	2554
719	6548	2546
720	6558	2537
721	6566	2528
722	6576	2519
723	6586	2510
724	6594	2501
725	6605	2492
726	6614	2483
727	6622	2474
728	6631	2465
729	6641	2456
730	6650	2447
731	6659	2438
732	6667	2428
733	6676	2419
734	6684	2410
735	6694	2401
736	6703	2392
737	6712	2382
738	6721	2373
739	6730	2364
740	6739	2355
741	6747	2346
742	6756	2337
743	6765	2327
744	6774	2318
745	6782	2309
746	6790	2300
747	6799	2290
748	6807	2281
749	6815	2271
750	6824	2262
751	6832	2253
752	6841	2244
753	6850	2235
754	6859	2225
755	6868	2216
756	6876	2207
757	6885	2198
758	6894	2189
759	6903	2180
760	6911	2170
761	6919	2161
762	6928	2152
763	6936	2142
764	6944	2133
765	6952	2123
766	6962	2114
767	6970	2105
768	6978	2096
769	6987	2087
770	6994	2077
771	7002	2068
772	7011	2059
773	7019	2049
774	7028	2040
775	7036	2031
776	7044	2021
777	7053	2012
778	7061	2003
779	7070	1994
780	7078	1984
781	7087	1975
782	7096	1966
783	7104	1957
784	7112	1948
785	7121	1938
786	7130	1929
787	7138	1920
788	7148	1911
789	7156	1902
790	7164	1893
791	7173	1883
792	7182	1874
793	7191	1865
794	7199	1856
795	7207	1847
796	7216	1838
797	7225	1828
798	7233	1819
799	7242	1810
800	7251	1801
801	7260	1792
802	7268	1783
803	7276	1773
804	7285	1764
805	7294	1755
806	7303	1746
807	7311	1737
808	7321	1728
809	7330	1719
810	7339	1710
811	7348	1701
812	7356	1692
813	7365	1682
814	7373	1673
815	7382	1664
816	7391	1655
817	7401	1646
818	7409	1637
819	7418	1628
820	7427	1619
821	7435	1610
822	7444	1601
823	7452	1591
824	7461	1582
825	7470	1573
826	7478	1564
827	7487	1555
828	7495	1546
829	7504	1537
830	7512	1527
831	7521	1518
832	7529	1509
833	7538	1500
834	7547	1491
835	7555	1482
836	7563	1472
837	7571	1463
838	7580	1454
839	7589	1445
840	7596	1436
841	7604	1427
842	7613	1417
843	7621	1408
844	7630	1399
845	7638	1390
846	7646	1381
847	7654	1372
848	7662	1362
849	7670	1353
850	7678	1344
851	7687	1335
852	7695	1326
853	7703	1317
854	7711	1307
855	7720	1298
856	7728	1289
857	7737	1280
858	7745	1271
859	7753	1262
860	7761	1253
861	7769	1243
862	7779	1234
863	7787	1225
864	7795	1216
865	7804	1207
866	7812	1198
867	7820	1189
868	7829	1180
869	7837	1171
870	7846	1162
871	7854	1152
872	7862	1143
873	7871	1134
874	7879	1125
875	7887	1116
876	7896	1107
877	7904	1098
878	7912	1089
879	7921	1080
880	7929	1071
881	7937	1061
882	7946	1052
883	7954	1043
884	7962	1034
885	7970	1025
886	7979	1016
887	7987	1007
888	7996	998
889	8004	989
890	8012	980
891	8021	971
892	8029	962
893	8037	953
894	8047	944
895	8055	935
896	8064	926
897	8073	917
898	8082	908
899	8091	899
900	8101	890
901	8110	881
902	8119	872
903	8129	863
904	8138	854
905	8147	845
906	8155	836
907	8164	827
908	8172	818
909	8181	809
910	8190	800
911	8198	791
912	8207	782
913	8216	773
914	8225	764
915	8234	755
916	8243	746
917	8252	737
918	8261	728
919	8270	719
920	8279	710
921	8288	701
922	8296	692
923	8305	683
924	8313	674
925	8323	665
926	8332	656
927	8341	647
928	8350	638
929	8358	629
930	8367	620
931	8376	611
932	8385	602
933	8394	593
934	8403	584
935	8412	575
936	8420	566
937	8429	557
938	8438	548
939	8447	539
940	8455	530
941	8464	521
942	8473	512
943	8482	503
944	8492	494
945	8502	485
946	8511	476
947	8520	467
948	8528	458
949	8537	449
950	8546	440
951	8555	431
952	8563	422
953	8573	413
954	8582	404
955	8591	395
956	8601	386
957	8609	377
958	8618	368
959	8626	359
960	8635	350
961	8645	341
962	8653	332
963	8662	323
964	8671	314
965	8680	305
966	8688	296
967	8697	287
968	8706	278
969	8715	269
970	8724	260
971	8733	251
972	8742	242
973	8750	233
974	8759	224
975	8768	215
976	8777	206
977	8786	197
978	8794	188
979	8803	179
980	8812	170
981	8821	161
982	8830	152
983	8839	143
984	8848	134
985	8856	125
986	8865	116
987	8874	107
988	8883	98
989	8892	89
990	8901	80
991	8910	71
992	8918	62
993	8927	53
994	8936	44
995	8945	35
996	8954	26
997	8962	17
998	8971	8
999	8980	0
