Identifier,Series,Canonical SMILES,Smiles,IC50 uM,PIC50
TB-VS12-25,Series A,CCCCCCC#CC1=CC(C2=NN=C(N2CCC[NH3+])SCC3=CC=C(O)C=C3)=CN=C1.[Cl-],CCCCCCC#CC1=CC(C2=NN=C(N2CCC[NH3+])SCC3=CC=C(O)C=C3)=CN=C1.[Cl-],28.6,4.543633966870956
TB-VS12-26,Series A,ClC(C=C1)=CC=C1CSC(N2C3=CC=CC=C3)=NN=C2C4=CN=CC(C#CCCCCCC)=C4,ClC(C=C1)=CC=C1CSC(N2C3=CC=CC=C3)=NN=C2C4=CN=CC(C#CCCCCCC)=C4,250,3.6020599913279625
TB-VS12-27,Series A,ClC1=CC=C(CSC2=NN=C(C3=CN=CC=C3)N2C)C=C1,ClC1=CC=C(CSC2=NN=C(C3=CN=CC=C3)N2C)C=C1,250,3.6020599913279625
TB-VS12-28,Series A,CN1C(SCC2=CC(F)=CC(F)=C2)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,CN1C(SCC2=CC(F)=CC(F)=C2)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,7.962,5.098977826751921
TB-VS12-29,non_numeric,CN1C(SCC2=CC=C(C=C2)N)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,CN1C(SCC2=CC=C(C=C2)N)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,,
TB-VS12-30,Series A,CN1C(SCC2=CC=C(Cl)C(F)=C2)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,CN1C(SCC2=CC=C(Cl)C(F)=C2)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,5.419,5.266080848987609
TB-VS12-31,Series A,ClC(C=C1)=CC=C1CSC2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)O2,ClC(C=C1)=CC=C1CSC2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)O2,200,3.6989700043360187
TB-VS12-32,Series A,ClC(C=C1)=CC=C1CS(C2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)N2C)(=O)=O,ClC(C=C1)=CC=C1CS(C2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)N2C)(=O)=O,250,3.6020599913279625
TB-VS12-33,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C=C3)[N+]([O-])=O)N2CCC[NH3+])=CN=C1.[Cl-],CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C=C3)[N+]([O-])=O)N2CCC[NH3+])=CN=C1.[Cl-],22.87,4.6407338353932515
TB-VS12-34,Series A,CCCCCCC#CC1=CC(C2=NN=C(N2C)SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(N2C)SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)=CN=C1,0.3333,6.47716468633947
TB-VS12-36,Series A,ClC(C=C1)=CC=C1CSC2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)N2CCCNC(OC(C)(C)C)=O,ClC(C=C1)=CC=C1CSC2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)N2CCCNC(OC(C)(C)C)=O,250,3.6020599913279625
TB-VS12-37,Series A,ClC1=CC=C(CSC2=NN=C(N2CC3=CC=CC=C3)C4=CN=CC(C#CCCCCCC)=C4)C=C1,ClC1=CC=C(CSC2=NN=C(N2CC3=CC=CC=C3)C4=CN=CC(C#CCCCCCC)=C4)C=C1,200,3.6989700043360187
TB-VS12-38,Series A,ClC1=CC=C(C=C1)CSC2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)N2C4CC4,ClC1=CC=C(C=C1)CSC2=NN=C(C3=CN=CC(C#CCCCCCC)=C3)N2C4CC4,5.006,5.300509154727796
TB-VS12-39,Series A,ClC1=CC=C(C=C1)CSC2=NN=C(C3=CN=CC(C#CCCC)=C3)N2C,ClC1=CC=C(C=C1)CSC2=NN=C(C3=CN=CC(C#CCCC)=C3)N2C,15.1,4.82102305270683
TB-VS12-40,Series A,CCCCCCC#CC1=CC(C(N2C)=NN=C2SCC3=CC=CC([N+]([O-])=O)=C3)=CN=C1,CCCCCCC#CC1=CC(C(N2C)=NN=C2SCC3=CC=CC([N+]([O-])=O)=C3)=CN=C1,31.33,4.504039605118295
TB-VS12-41,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C([N+]([O-])=O)O3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C([N+]([O-])=O)O3)N2C)=CN=C1,0.1043,6.981715691573469
TB-VS12-42,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCCN3C(C)=NC([N+]([O-])=O)=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCCN3C(C)=NC([N+]([O-])=O)=C3)N2C)=CN=C1,21.85,4.660548558693559
TB-VS12-43,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC(NC(N3)=O)=O)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC(NC(N3)=O)=O)N2C)=CN=C1,200,3.6989700043360187
TB-VS12-44,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCC[NH3+])=CN=C1.[Cl-],CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C3)N2CCC[NH3+])=CN=C1.[Cl-],2.933,5.532687937019448
TB-VS12-45,Series A,CN1C(C2=CC=CC(C#CCCCCCC)=C2)=NN=C1SCC3=CC=C(Cl)C=C3,CN1C(C2=CC=CC(C#CCCCCCC)=C2)=NN=C1SCC3=CC=C(Cl)C=C3,8.47,5.072116589669293
TB-VS12-46,Series A,CN1C(C2=CN=CC(C#CCCCCCC)=C2)=NN=C1SCC3=CC=C(Cl)C=C3[N+]([O-])=O,CN1C(C2=CN=CC(C#CCCCCCC)=C2)=NN=C1SCC3=CC=C(Cl)C=C3[N+]([O-])=O,200,3.6989700043360187
TB-VS12-47,Series A,CN1C(C2=CN=CC(C#C)=C2)=NN=C1SCC3=CC=C(Cl)C=C3,CN1C(C2=CN=CC(C#C)=C2)=NN=C1SCC3=CC=C(Cl)C=C3,85.5,4.068033885271827
TB-VS12-49,Series A,CN1C(C2=CN=CC(C#CCCC)=C2)=NN=C1S,CN1C(C2=CN=CC(C#CCCC)=C2)=NN=C1S,200,3.6989700043360187
TB-VS12-50,Series A,ClC1=CC=C(CSC2=NN=C(N2C)C3=CN=CC(C#CC4=CC=CC=C4)=C3)C=C1,ClC1=CC=C(CSC2=NN=C(N2C)C3=CN=CC(C#CC4=CC=CC=C4)=C3)C=C1,2.169,5.6637404479858064
TB-VS12-51,Series A,ClC1=CC=C(CSC2=NN=C(N2CCCC)C3=CN=CC(C#CCCCCCC)=C3)C=C1,ClC1=CC=C(CSC2=NN=C(N2CCCC)C3=CN=CC(C#CCCCCCC)=C3)C=C1,200,3.6989700043360187
TB-VS12-52,Series A,CCCCCCC#CC1=CN=CC(C(N2C3CCNCC3)=NN=C2SCC4=CC=C(Cl)C=C4)=C1.Cl,CCCCCCC#CC1=CN=CC(C(N2C3CCNCC3)=NN=C2SCC4=CC=C(Cl)C=C4)=C1.Cl,12.39,4.906928693623937
TB-VS12-53,Series A,ClC1=CC=C(CSC2=NN=C(N2C3CNC3)C4=CN=CC(C#CCCCCCC)=C4)C=C1,ClC1=CC=C(CSC2=NN=C(N2C3CNC3)C4=CN=CC(C#CCCCCCC)=C4)C=C1,28.14,4.550675906901273
TB-VS12-54,Series A,CCCCCCC#CC1=CC(C(N2C)=NN=C2SC3=CC=C([N+]([O-])=O)C4=NON=C43)=CN=C1,CCCCCCC#CC1=CC(C(N2C)=NN=C2SC3=CC=C([N+]([O-])=O)C4=NON=C43)=CN=C1,27.12,4.566710314804974
TB-VS12-55,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=C(F)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=C(F)C=C3)N2C)=CN=C1,43.75,4.359021942641668
TB-VS12-56,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC(C(F)(F)F)=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC([N+]([O-])=O)=CC(C(F)(F)F)=C3)N2C)=CN=C1,200,3.6989700043360187
TB-VS12-57,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)N2C)=CN=C1,200,3.6989700043360187
TB-VS12-58,Series A,CCCCCCC#CC1=CC(C2=NN=C(SC3=CC=C([N+]([O-])=O)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SC3=CC=C([N+]([O-])=O)C=C3)N2C)=CN=C1,200,3.6989700043360187
